fpr,tpr
0.00239,0.32143
0.00239,0.32226
0.00239,0.32309
0.00239,0.32392
0.00239,0.32475
0.00239,0.32558
0.00239,0.32641
0.00239,0.32724
0.00239,0.32807
0.00239,0.32890
0.00239,0.32973
0.00239,0.33056
0.00239,0.33140
0.00239,0.33223
0.00239,0.33306
0.00239,0.33389
0.00239,0.33472
0.00239,0.33555
0.00245,0.33555
0.00245,0.33638
0.00245,0.33721
0.00245,0.33804
0.00245,0.33887
0.00252,0.33887
0.00259,0.33887
0.00259,0.33970
0.00259,0.34053
0.00259,0.34136
0.00259,0.34219
0.00259,0.34302
0.00259,0.34385
0.00259,0.34468
0.00259,0.34551
0.00259,0.34635
0.00259,0.34718
0.00259,0.34801
0.00259,0.34884
0.00259,0.34967
0.00259,0.35050
0.00259,0.35133
0.00259,0.35216
0.00259,0.35299
0.00259,0.35382
0.00266,0.35382
0.00266,0.35465
0.00266,0.35548
0.00266,0.35631
0.00266,0.35714
0.00266,0.35797
0.00266,0.35880
0.00266,0.35963
0.00266,0.36047
0.00266,0.36130
0.00266,0.36213
0.00266,0.36296
0.00266,0.36379
0.00266,0.36462
0.00266,0.36545
0.00266,0.36628
0.00266,0.36711
0.00266,0.36794
0.00266,0.36877
0.00266,0.36960
0.00266,0.37043
0.00266,0.37126
0.00266,0.37209
0.00266,0.37292
0.00266,0.37375
0.00266,0.37458
0.00266,0.37542
0.00266,0.37625
0.00266,0.37708
0.00266,0.37791
0.00273,0.37791
0.00280,0.37791
0.00280,0.37874
0.00280,0.37957
0.00280,0.38040
0.00280,0.38123
0.00280,0.38206
0.00280,0.38289
0.00280,0.38372
0.00280,0.38455
0.00280,0.38538
0.00280,0.38621
0.00280,0.38704
0.00280,0.38787
0.00280,0.38870
0.00280,0.38953
0.00280,0.39037
0.00280,0.39120
0.00280,0.39203
0.00280,0.39286
0.00280,0.39369
0.00280,0.39452
0.00280,0.39535
0.00280,0.39618
0.00280,0.39701
0.00280,0.39784
0.00280,0.39867
0.00280,0.39950
0.00280,0.40033
0.00286,0.40033
0.00293,0.40033
0.00293,0.40116
0.00293,0.40199
0.00293,0.40282
0.00293,0.40365
0.00293,0.40449
0.00293,0.40532
0.00293,0.40615
0.00293,0.40698
0.00293,0.40781
0.00293,0.40864
0.00293,0.40947
0.00293,0.41030
0.00293,0.41113
0.00293,0.41196
0.00293,0.41279
0.00293,0.41362
0.00293,0.41445
0.00293,0.41528
0.00293,0.41611
0.00293,0.41694
0.00293,0.41777
0.00293,0.41860
0.00293,0.41944
0.00293,0.42027
0.00293,0.42110
0.00293,0.42193
0.00293,0.42276
0.00293,0.42359
0.00293,0.42442
0.00293,0.42525
0.00293,0.42608
0.00293,0.42691
0.00293,0.42774
0.00293,0.42857
0.00293,0.42940
0.00293,0.43023
0.00293,0.43106
0.00293,0.43189
0.00293,0.43272
0.00293,0.43355
0.00293,0.43439
0.00293,0.43522
0.00293,0.43605
0.00293,0.43688
0.00293,0.43771
0.00293,0.43854
0.00293,0.43937
0.00293,0.44020
0.00293,0.44103
0.00293,0.44186
0.00293,0.44269
0.00293,0.44352
0.00293,0.44435
0.00293,0.44518
0.00293,0.44601
0.00293,0.44684
0.00293,0.44767
0.00293,0.44850
0.00293,0.44934
0.00293,0.45017
0.00293,0.45100
0.00293,0.45183
0.00293,0.45266
0.00293,0.45349
0.00300,0.45349
0.00307,0.45349
0.00314,0.45349
0.00320,0.45349
0.00320,0.45432
0.00320,0.45515
0.00320,0.45598
0.00320,0.45681
0.00320,0.45764
0.00320,0.45847
0.00320,0.45930
0.00320,0.46013
0.00320,0.46096
0.00320,0.46179
0.00320,0.46262
0.00320,0.46346
0.00320,0.46429
0.00320,0.46512
0.00320,0.46595
0.00320,0.46678
0.00327,0.46678
0.00334,0.46678
0.00334,0.46761
0.00334,0.46844
0.00334,0.46927
0.00334,0.47010
0.00334,0.47093
0.00334,0.47176
0.00334,0.47259
0.00334,0.47342
0.00334,0.47425
0.00334,0.47508
0.00334,0.47591
0.00334,0.47674
0.00334,0.47757
0.00334,0.47841
0.00334,0.47924
0.00334,0.48007
0.00334,0.48090
0.00334,0.48173
0.00334,0.48256
0.00334,0.48339
0.00334,0.48422
0.00334,0.48505
0.00334,0.48588
0.00334,0.48671
0.00334,0.48754
0.00334,0.48837
0.00334,0.48920
0.00334,0.49003
0.00341,0.49003
0.00341,0.49086
0.00341,0.49169
0.00341,0.49252
0.00348,0.49252
0.00355,0.49252
0.00355,0.49336
0.00355,0.49419
0.00355,0.49502
0.00355,0.49585
0.00355,0.49668
0.00355,0.49751
0.00355,0.49834
0.00355,0.49917
0.00355,0.50000
0.00355,0.50083
0.00355,0.50166
0.00355,0.50249
0.00355,0.50332
0.00355,0.50415
0.00355,0.50498
0.00355,0.50581
0.00355,0.50664
0.00361,0.50664
0.00361,0.50748
0.00361,0.50831
0.00361,0.50914
0.00361,0.50997
0.00361,0.51080
0.00361,0.51163
0.00368,0.51163
0.00368,0.51246
0.00368,0.51329
0.00368,0.51412
0.00368,0.51495
0.00368,0.51578
0.00368,0.51661
0.00368,0.51744
0.00368,0.51827
0.00368,0.51910
0.00368,0.51993
0.00368,0.52076
0.00368,0.52159
0.00368,0.52243
0.00368,0.52326
0.00368,0.52409
0.00368,0.52492
0.00368,0.52575
0.00368,0.52658
0.00368,0.52741
0.00368,0.52824
0.00368,0.52907
0.00368,0.52990
0.00368,0.53073
0.00368,0.53156
0.00368,0.53239
0.00368,0.53322
0.00368,0.53405
0.00368,0.53488
0.00368,0.53571
0.00368,0.53654
0.00368,0.53738
0.00368,0.53821
0.00368,0.53904
0.00368,0.53987
0.00368,0.54070
0.00368,0.54153
0.00368,0.54236
0.00368,0.54319
0.00368,0.54402
0.00368,0.54485
0.00368,0.54568
0.00368,0.54651
0.00368,0.54734
0.00368,0.54817
0.00375,0.54817
0.00382,0.54817
0.00382,0.54900
0.00389,0.54900
0.00389,0.54983
0.00389,0.55066
0.00389,0.55150
0.00389,0.55233
0.00389,0.55316
0.00395,0.55316
0.00395,0.55399
0.00395,0.55482
0.00395,0.55565
0.00395,0.55648
0.00395,0.55731
0.00395,0.55814
0.00395,0.55897
0.00395,0.55980
0.00395,0.56063
0.00402,0.56063
0.00409,0.56063
0.00409,0.56146
0.00409,0.56229
0.00416,0.56229
0.00423,0.56229
0.00423,0.56312
0.00430,0.56312
0.00436,0.56312
0.00436,0.56395
0.00436,0.56478
0.00436,0.56561
0.00436,0.56645
0.00436,0.56728
0.00436,0.56811
0.00436,0.56894
0.00436,0.56977
0.00436,0.57060
0.00436,0.57143
0.00436,0.57226
0.00436,0.57309
